_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
lintDotCommand                               .text       00000000004263BC 00000178 00000018 0000000C R . . . . . .
do_meta_command                              .text       0000000000426534 000099D0 000017F8 00000000 R . . . . . .
line_contains_semicolon                      .text       000000000042FF04 00000080 0000000C 00000008 R . . . . . .
_all_whitespace                              .text       000000000042FF84 000001FC 00000010 00000004 R . . . . . .
line_is_command_terminator                   .text       0000000000430180 00000164 00000010 00000004 R . . . . . .
line_is_complete                             .text       00000000004302E4 000000AC 00000018 00000008 R . . . . . .
runOneSqlLine                                .text       0000000000430390 000002E4 00000098 00000010 R . . . . . .
process_input                                .text       0000000000430674 000006BC 00000040 00000008 R . . . . . .
find_home_dir                                .text       0000000000430D30 000001BC 00000020 00000004 R . . . . . .
process_sqliterc                             .text       0000000000430EEC 00000190 00000020 00000008 R . . . . . .
usage                                        .text       000000000043107C 000000DC 00000010 00000004 R . . . . . .
verify_uninitialized                         .text       0000000000431158 00000090 00000010 00000000 R . . . . . .
main_init                                    .text       00000000004311E8 000001B4 00000010 00000004 R . . . . . .
printBold                                    .text       000000000043139C 0000005C 00000010 00000004 R . . . . . .
cmdline_option_value                         .text       00000000004313F8 000000CC 00000010 0000000C R . . . . . .
main                                         .text       00000000004314C4 00001B4C 00001508 00000004 R . . . . . .
sqlite3CompileOptions                        .text       0000000000433010 00000038 00000004 00000004 R . . . . . .
sqlite3StatusValue                           .text       0000000000433048 0000004C 00000004 00000004 R . . . . . .
sqlite3StatusUp                              .text       0000000000433094 000000D8 00000004 00000008 R . . . . . .
sqlite3StatusDown                            .text       000000000043316C 00000064 00000004 00000008 R . . . . . .
sqlite3StatusHighwater                       .text       00000000004331D0 00000080 0000000C 00000008 R . . . . . .
sqlite3_status64                             .text       0000000000433250 00000178 0000001C 00000010 R . . . . . .
sqlite3_status                               .text       00000000004333C8 000000EC 00000038 00000010 R . . . . . .
countLookasideSlots                          .text       00000000004334B4 00000058 0000000C 00000004 R . . . . . .
sqlite3LookasideUsed                         .text       000000000043350C 000000A0 00000010 00000008 R . . . . . .
sqlite3_db_status                            .text       00000000004335AC 000006F4 00000060 00000014 R . . . . . .
getDigits                                    .text       0000000000433CA0 00000210 00000030 00000010 R . . . . . .
parseTimezone                                .text       0000000000433EB0 0000022C 00000030 00000000 R . . . . . .
parseHhMmSs                                  .text       00000000004340DC 000002C4 00000040 00000000 R . . . . . .
datetimeError                                .text       00000000004343A0 00000068 00000010 00000004 R . . . . . .
computeJD                                    .text       0000000000434408 00000394 00000048 00000004 R . . . . . .
parseYyyyMmDd                                .text       000000000043479C 0000020C 00000038 00000000 R . . . . . .
setDateTimeToCurrent                         .text       00000000004349A8 00000088 00000008 00000008 R . . . . . .
setRawDateNumber                             .text       0000000000434A30 000000E8 00000010 00000010 R . . . . . .
parseDateOrTime                              .text       0000000000434B18 0000017C 00000030 00000000 R . . . . . .
validJulianDay                               .text       0000000000434C94 00000088 00000004 00000008 R . . . . . .
computeYMD                                   .text       0000000000434D1C 000002CC 00000030 00000004 R . . . . . .
computeHMS                                   .text       0000000000434FE8 000001D4 00000018 00000004 R . . . . . .
computeYMD_HMS                               .text       00000000004351BC 00000048 00000008 00000004 R . . . . . .
clearYMD_HMS_TZ                              .text       0000000000435204 00000040 00000004 00000004 R . . . . . .
osLocaltime                                  .text       0000000000435244 00000088 00000018 00000008 R . . . . . .
localtimeOffset                              .text       00000000004352CC 000002A8 000000C0 00000000 R . . . . . .
parseModifier                                .text       0000000000435574 00000FB8 000000B0 0000000C R . . . . . .
isDate                                       .text       000000000043652C 00000268 00000020 00000010 R . . . . . .
juliandayFunc                                .text       0000000000436794 000000FC 00000050 00000008 R . . . . . .
datetimeFunc                                 .text       0000000000436890 00000128 000000C8 00000008 R . . . . . .
timeFunc                                     .text       00000000004369B8 00000110 000000B8 00000008 R . . . . . .
dateFunc                                     .text       0000000000436AC8 00000108 000000B8 00000008 R . . . . . .
strftimeFunc                                 .text       0000000000436BD0 00000BB4 00000128 00000008 R . . . . . .
ctimeFunc                                    .text       0000000000437784 0000004C 00000008 0000000C R . . . . . .
cdateFunc                                    .text       00000000004377D0 0000004C 00000008 0000000C R . . . . . .
ctimestampFunc                               .text       000000000043781C 0000004C 00000008 0000000C R . . . . . .
sqlite3RegisterDateTimeFunctions             .text       0000000000437868 00000040 00000008 00000000 R . . . . . .
sqlite3OsClose                               .text       00000000004378A8 00000064 00000008 00000004 R . . . . . .
sqlite3OsRead                                .text       000000000043790C 00000068 00000018 00000018 R . . . . . .
sqlite3OsWrite                               .text       0000000000437974 00000068 00000018 00000018 R . . . . . .
sqlite3OsTruncate                            .text       00000000004379DC 00000058 00000008 00000010 R . . . . . .
sqlite3OsSync                                .text       0000000000437A34 00000068 00000008 00000008 R . . . . . .
sqlite3OsFileSize                            .text       0000000000437A9C 00000050 00000008 00000008 R . . . . . .
sqlite3OsLock                                .text       0000000000437AEC 00000050 00000008 00000008 R . . . . . .
sqlite3OsUnlock                              .text       0000000000437B3C 00000050 00000008 00000008 R . . . . . .
sqlite3OsCheckReservedLock                   .text       0000000000437B8C 00000050 00000008 00000008 R . . . . . .
sqlite3OsFileControl                         .text       0000000000437BDC 00000074 00000008 0000000C R . . . . . .
sqlite3OsFileControlHint                     .text       0000000000437C50 0000006C 00000008 0000000C R . . . . . .
sqlite3OsSectorSize                          .text       0000000000437CBC 00000068 0000000C 00000004 R . . . . . .
sqlite3OsDeviceCharacteristics               .text       0000000000437D24 00000048 00000008 00000004 R . . . . . .
