.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
tryToCloneData                               .text  0000000000029454 000005BC 00000068 00000000         R . . . B . .
tryToCloneSchema                             .text  0000000000029A48 00000378 00000048 00000000         R . . . B . .
tryToClone                                   .text  0000000000029DE4 00000174 00000030 00000000         R . . . B . .
output_reset                                 .text  0000000000029F84 000000E8 00000018 00000000         R . . . B . .
db_int                                       .text  000000000002A080 000000B8 00000028 00000000         R . . . B . .
get2byteInt                                  .text  000000000002A13C 0000003C 00000010 00000000         R . . . B . .
get4byteInt                                  .text  000000000002A178 00000064 00000010 00000000         R . . . B . .
shell_dbinfo_command                         .text  000000000002A1DC 0000040C 000000B0 00000000         R . . . B . .
shellDatabaseError                           .text  000000000002A644 00000044 00000018 00000000         R . . . B . .
testcase_glob                                .text  000000000002A690 000005C0 00000028 00000000         R . . . B . .
optionMatch                                  .text  000000000002AC50 00000080 00000010 00000000         R . . . B . .
shellDeleteFile                              .text  000000000002ACD0 0000002C 00000018 00000000         R . . . B . .
clearTempFile                                .text  000000000002ACFC 00000088 00000010 00000000         R . . . B . .
newTempFile                                  .text  000000000002AD84 00000138 00000030 00000000         R . . . B . .
shellFkeyCollateClause                       .text  000000000002AED0 000001D4 00000058 00000000         R . . . B . .
lintFkeyIndexes                              .text  000000000002B0C4 0000054C 00000090 00000000         R . . . B . .
lintDotCommand                               .text  000000000002B654 000000F0 00000020 00000000         R . . . B . .
do_meta_command                              .text  000000000002B758 0000AF38 000017F8 00000000         R . . . B . .
line_contains_semicolon                      .text  0000000000036710 00000070 00000018 00000000         R . . . B . .
_all_whitespace                              .text  0000000000036780 00000194 00000010 00000000         R . . . B . .
line_is_command_terminator                   .text  0000000000036914 000000F8 00000010 00000000         R . . . B . .
line_is_complete                             .text  0000000000036A0C 00000084 00000018 00000000         R . . . B . .
runOneSqlLine                                .text  0000000000036A90 000001C4 00000090 00000000         R . . . B . .
process_input                                .text  0000000000036C70 0000055C 00000040 00000000         R . . . B . .
