_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
set_current_prompt_level             .text    0000000000026FA0 00000046 00000010 00000004 R . . . B . .
decode_prompt_string                 .text    0000000000026FF0 00001752 0000126C 00000004 R . . . B . .
report_syntax_error                  .text    0000000000028750 00000384 0000004C 00000004 R . . . B . .
parse_string_to_word_list            .text    0000000000028AE0 00000337 0000006C 0000000C R . . . B . .
read_token                           .text    0000000000028E20 00000CD2 0000006C 00000004 R . . . B . .
print_prompt                         .text    0000000000029B00 0000005F 0000002C 00000000 R . . . B . .
yy_getc                              .text    0000000000029B60 00000022 00000008 00000000 R . . . B . .
yy_ungetc                            .text    0000000000029B90 00000032 0000001C 00000004 R . . . B . .
error_token_from_token               .text    0000000000029BD0 000001F2 0000004C 00000004 R . . . B . .
print_offending_line                 .text    0000000000029DD0 0000012A 0000003C 00000000 R . . . B . .
error_token_from_text                .text    0000000000029F00 000002A3 0000004C 00000000 R . . . B . .
parse_cond_command                   .text    000000000002A1B0 00000042 0000001C 00000000 R . . . B . .
cond_error                           .text    000000000002A200 0000013F 0000002C 00000000 R . . . B . .
shell_getc                           .text    000000000002A340 00000A74 0000006C 00000004 R . . . B . .
discard_until                        .text    000000000002ADC0 00000082 0000002C 00000004 R . . . B . .
shell_ungetc                         .text    000000000002AE50 00000073 00000010 00000004 R . . . B . .
parse_dparen                         .text    000000000002AED0 000001D6 0000004C 00000004 R . . . B . .
read_token_word                      .text    000000000002B0B0 000029E9 000001DC 00000004 R . . . B . .
cond_expr                            .text    000000000002DAA0 0000001E 00000008 00000000 R . . . B . .
cond_or                              .text    000000000002DAC0 0000007E 0000002C 00000000 R . . . B . .
cond_and                             .text    000000000002DB40 0000007E 0000002C 00000000 R . . . B . .
cond_term                            .text    000000000002DBC0 00000B0C 000000CC 00000000 R . . . B . .
cond_skip_newlines                   .text    000000000002E6D0 00000093 0000001C 00000000 R . . . B . .
set_line_mbstate                     .text    000000000002E770 00000257 0000005C 00000000 R . . . B . .
pop_string                           .text    000000000002E9D0 0000012B 0000002C 00000000 R . . . B . .
parse_arith_cmd                      .text    000000000002EB00 0000027B 0000007C 00000008 R . . . B . .
reserved_word_acceptable             .text    000000000002ED80 000001D5 00000048 00000004 R . . . B . .
push_string                          .text    000000000002EF60 00000114 0000003C 0000000C R . . . B . .
parse_matched_pair                   .text    000000000002F080 000018FE 0000012C 00000014 R . . . B . .
parse_comsub                         .text    0000000000030980 0000219D 0000018C 00000014 R . . . B . .
token_is_ident                       .text    0000000000032B20 0000005A 0000001C 00000008 R . . . B . .
token_is_assignment                  .text    0000000000032B80 0000009F 0000002C 00000008 R . . . B . .
parse_compound_assignment            .text    0000000000032C20 00000388 0000006C 00000004 R . . . B . .
special_case_tokens                  .text    0000000000032FB0 00000436 0000002C 00000004 R . . . B . .
time_command_acceptable              .text    00000000000333F0 000001DD 00000044 00000000 R . . . B . .
alias_expand_token                   .text    00000000000335D0 0000018B 0000002C 00000004 R . . . B . .
mk_alexpansion                       .text    0000000000033760 000000CE 0000003C 00000004 R . . . B . .
posix_initialize                     .text    0000000000033830 0000008A 00000014 00000004 R . . . B . .
string_to_rlimtype                   .text    00000000000338C0 000001BC 0000002C 00000004 R . . . B . .
print_rlimtype                       .text    0000000000033A80 00000188 0000005C 0000000C R . . . B . .
all_digits                           .text    0000000000033C10 00000082 00000014 00000004 R . . . B . .
legal_number                         .text    0000000000033CA0 00000135 0000003C 00000008 R . . . B . .
legal_identifier                     .text    0000000000033DE0 0000011F 0000002C 00000004 R . . . B . .
check_identifier                     .text    0000000000033F00 000000E6 0000002C 00000008 R . . . B . .
legal_alias_name                     .text    0000000000033FF0 000000DC 00000018 00000008 R . . . B . .
assignment                           .text    00000000000340D0 0000022F 0000004C 00000008 R . . . B . .
sh_unset_nodelay_mode                .text    0000000000034300 000000D5 0000003C 00000004 R . . . B . .
sh_validfd                           .text    00000000000343E0 00000056 0000002C 00000004 R . . . B . .
fd_ispipe                            .text    0000000000034440 00000089 0000002C 00000004 R . . . B . .
check_dev_tty                        .text    00000000000344D0 000000AD 0000002C 00000000 R . . . B . .
same_file                            .text    0000000000034580 00000128 000000FC 00000010 R . . . B . .
move_to_high_fd                      .text    00000000000346B0 0000017B 0000004C 0000000C R . . . B . .
check_binary_file                    .text    0000000000034830 00000085 00000018 00000008 R . . . B . .
sh_openpipe                          .text    00000000000348C0 000000BC 0000003C 00000004 R . . . B . .
sh_closepipe                         .text    0000000000034980 00000077 0000001C 00000004 R . . . B . .
file_exists                          .text    0000000000034A00 0000003E 0000007C 00000004 R . . . B . .
file_isdir                           .text    0000000000034A40 0000005C 0000007C 00000004 R . . . B . .
file_iswdir                          .text    0000000000034AA0 0000006E 0000002C 00000004 R . . . B . .
dot_or_dotdot                        .text    0000000000034B10 000000AB 0000000C 00000004 R . . . B . .
absolute_pathname                    .text    0000000000034BC0 000000E1 0000000C 00000004 R . . . B . .
absolute_program                     .text    0000000000034CB0 00000047 0000001C 00000004 R . . . B . .
make_absolute                        .text    0000000000034D00 000000C6 0000003C 00000008 R . . . B . .
base_pathname                        .text    0000000000034DD0 00000097 0000002C 00000004 R . . . B . .
full_pathname                        .text    0000000000034E70 0000012D 0000004C 00000004 R . . . B . .
bash_tilde_expand                    .text    0000000000034FA0 00000186 0000005C 00000008 R . . . B . .
polite_directory_format              .text    0000000000035130 00000115 0000003C 00000004 R . . . B . .
trim_pathname                        .text    0000000000035250 000002EA 0000006C 00000008 R . . . B . .
extract_colon_unit                   .text    0000000000035540 00000186 0000004C 00000008 R . . . B . .
tilde_initialize                     .text    00000000000356D0 0000016B 0000002C 00000000 R . . . B . .
bash_special_tilde_expansions        .text    0000000000035840 00000188 0000003C 00000004 R . . . B . .
bash_tilde_find_word                 .text    00000000000359D0 000001C1 0000005C 0000000C R . . . B . .
unquoted_tilde_word                  .text    0000000000035BA0 000000CC 00000024 00000004 R . . . B . .
group_member                         .text    0000000000035C70 000000E5 0000001C 00000004 R . . . B . .
initialize_group_array               .text    0000000000035D60 0000025C 0000002C 00000000 R . . . B . .
get_group_list                       .text    0000000000035FC0 00000139 0000002C 00000004 R . . . B . .
get_group_array                      .text    0000000000036100 00000143 0000002C 00000004 R . . . B . .
cmd_init                             .text    0000000000036250 000000C0 0000002C 00000000 R . . . B . .
alloc_word_desc                      .text    0000000000036310 000000A4 0000002C 00000000 R . . . B . .
make_bare_word                       .text    00000000000363C0 000000DA 0000003C 00000004 R . . . B . .
make_word_flags                      .text    00000000000364A0 000001F1 0000006C 00000008 R . . . B . .
is_basic                             .text    00000000000366A0 00000039 00000006 00000001 R . . . B . .
make_word                            .text    00000000000366E0 00000047 0000001C 00000004 R . . . B . .
make_word_from_token                 .text    0000000000036730 00000038 0000001C 00000004 R . . . B . .
make_word_list                       .text    0000000000036770 000000AE 0000003C 00000008 R . . . B . .
make_command                         .text    0000000000036820 00000090 0000003C 00000008 R . . . B . .
command_connect                      .text    00000000000368B0 0000009F 0000003C 0000000C R . . . B . .
make_for_command                     .text    0000000000036950 00000064 0000003C 00000010 R . . . B . .
make_for_or_select                   .text    00000000000369C0 000000BD 0000004C 00000014 R . . . B . .
make_select_command                  .text    0000000000036A80 00000067 0000003C 00000010 R . . . B . .
make_arith_for_command               .text    0000000000036AF0 000003FF 0000009C 0000000C R . . . B . .
make_arith_for_expr                  .text    0000000000036EF0 00000090 0000002C 00000004 R . . . B . .
make_group_command                   .text    0000000000036F80 00000080 0000003C 00000004 R . . . B . .
make_case_command                    .text    0000000000037000 000000DA 0000004C 0000000C R . . . B . .
make_pattern_list                    .text    00000000000370E0 000000B9 0000003C 00000008 R . . . B . .
make_if_command                      .text    00000000000371A0 000000A8 0000003C 0000000C R . . . B . .
make_while_command                   .text    0000000000037250 0000004B 0000002C 00000008 R . . . B . .
make_until_or_while                  .text    00000000000372A0 00000096 0000003C 0000000C R . . . B . .
make_until_command                   .text    0000000000037340 0000004B 0000002C 00000008 R . . . B . .
make_arith_command                   .text    0000000000037390 000000D8 0000003C 00000004 R . . . B . .
make_cond_node                       .text    0000000000037470 000000B5 0000004C 00000010 R . . . B . .
make_cond_command                    .text    0000000000037530 000000AA 0000003C 00000004 R . . . B . .
make_bare_simple_command             .text    00000000000375E0 000000DB 0000003C 00000000 R . . . B . .
make_simple_command                  .text    00000000000376C0 000000E7 0000002C 0000000C R . . . B . .
make_here_document                   .text    00000000000377B0 0000044F 0000007C 00000008 R . . . B . .
make_redirection                     .text    0000000000037C00 00000202 0000005C 00000010 R . . . B . .
make_function_def                    .text    0000000000037E20 00000174 0000005C 00000010 R . . . B . .
make_subshell_command                .text    0000000000037FA0 00000089 0000003C 00000004 R . . . B . .
