_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
sh_unset_nodelay_mode                .text    00000000000372D0 000000D5 0000003C 00000004 R . . . B . .
sh_validfd                           .text    00000000000373B0 00000056 0000002C 00000004 R . . . B . .
fd_ispipe                            .text    0000000000037410 00000089 0000002C 00000004 R . . . B . .
check_dev_tty                        .text    00000000000374A0 000000B7 0000002C 00000000 R . . . B . .
same_file                            .text    0000000000037560 00000128 000000FC 00000010 R . . . B . .
move_to_high_fd                      .text    0000000000037690 0000017B 0000004C 0000000C R . . . B . .
check_binary_file                    .text    0000000000037810 00000085 00000018 00000008 R . . . B . .
sh_openpipe                          .text    00000000000378A0 000000BC 0000003C 00000004 R . . . B . .
sh_closepipe                         .text    0000000000037960 00000077 0000001C 00000004 R . . . B . .
file_exists                          .text    00000000000379E0 0000003E 0000007C 00000004 R . . . B . .
file_isdir                           .text    0000000000037A20 0000005C 0000007C 00000004 R . . . B . .
file_iswdir                          .text    0000000000037A80 0000006E 0000002C 00000004 R . . . B . .
path_dot_or_dotdot                   .text    0000000000037AF0 000000AB 0000000C 00000004 R . . . B . .
absolute_pathname                    .text    0000000000037BA0 000000E1 0000000C 00000004 R . . . B . .
absolute_program                     .text    0000000000037C90 00000047 0000001C 00000004 R . . . B . .
make_absolute                        .text    0000000000037CE0 000000C6 0000003C 00000008 R . . . B . .
base_pathname                        .text    0000000000037DB0 00000097 0000002C 00000004 R . . . B . .
full_pathname                        .text    0000000000037E50 0000012D 0000004C 00000004 R . . . B . .
bash_tilde_expand                    .text    0000000000037F80 000001F2 0000005C 00000008 R . . . B . .
polite_directory_format              .text    0000000000038180 00000115 0000003C 00000004 R . . . B . .
trim_pathname                        .text    00000000000382A0 000002E9 0000006C 00000008 R . . . B . .
extract_colon_unit                   .text    0000000000038590 00000186 0000004C 00000008 R . . . B . .
tilde_initialize                     .text    0000000000038720 0000016B 0000002C 00000000 R . . . B . .
bash_special_tilde_expansions        .text    0000000000038890 00000188 0000003C 00000004 R . . . B . .
bash_tilde_find_word                 .text    0000000000038A20 000001C1 0000005C 0000000C R . . . B . .
unquoted_tilde_word                  .text    0000000000038BF0 000000CC 00000024 00000004 R . . . B . .
group_member                         .text    0000000000038CC0 000000E5 0000001C 00000004 R . . . B . .
initialize_group_array               .text    0000000000038DB0 0000025C 0000002C 00000000 R . . . B . .
get_group_list                       .text    0000000000039010 00000139 0000002C 00000004 R . . . B . .
get_group_array                      .text    0000000000039150 00000143 0000002C 00000004 R . . . B . .
cmd_init                             .text    00000000000392A0 000000C0 0000002C 00000000 R . . . B . .
alloc_word_desc                      .text    0000000000039360 000000A4 0000002C 00000000 R . . . B . .
make_bare_word                       .text    0000000000039410 000000DA 0000003C 00000004 R . . . B . .
make_word_flags                      .text    00000000000394F0 000001F2 0000006C 00000008 R . . . B . .
is_basic                             .text    00000000000396F0 00000039 00000006 00000001 R . . . B . .
make_word                            .text    0000000000039730 00000047 0000001C 00000004 R . . . B . .
make_word_from_token                 .text    0000000000039780 00000038 0000001C 00000004 R . . . B . .
make_word_list                       .text    00000000000397C0 000000AE 0000003C 00000008 R . . . B . .
make_command                         .text    0000000000039870 00000090 0000003C 00000008 R . . . B . .
command_connect                      .text    0000000000039900 0000009F 0000003C 0000000C R . . . B . .
make_for_command                     .text    00000000000399A0 00000064 0000003C 00000010 R . . . B . .
make_for_or_select                   .text    0000000000039A10 000000BD 0000004C 00000014 R . . . B . .
make_select_command                  .text    0000000000039AD0 00000067 0000003C 00000010 R . . . B . .
make_arith_for_command               .text    0000000000039B40 0000049F 000000BC 0000000C R . . . B . .
make_arith_for_expr                  .text    0000000000039FE0 00000090 0000002C 00000004 R . . . B . .
make_group_command                   .text    000000000003A070 00000080 0000003C 00000004 R . . . B . .
make_case_command                    .text    000000000003A0F0 000000DA 0000004C 0000000C R . . . B . .
